drug,reaction,slope,p_value,r_value,n_quarters,trend
semaglutide,IMPAIRED GASTRIC EMPTYING,6.154667230955827,0.0027057859838950436,0.7155302132308191,15,emerging
semaglutide,NAUSEA,-0.06391212278008261,0.2676764163803953,-0.2948052259943865,16,stable
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,12.125448486175575,0.17158446583967232,0.5807233564986665,7,stable
semaglutide,PANCREATITIS,-0.3886085496219251,0.00012934572325299905,-0.8128603191938425,16,declining
semaglutide,SUICIDAL IDEATION,-0.08202317529991986,0.584841637124184,-0.15354009811485475,15,stable
